Zip Code,"Total Population, All Races"," ""American Indian & Alaska Native"""," ""Asian"""," ""Black or African American"""," ""Native Hawaiian & Other Pacific Islander"""," ""White (Not Hispanic or Latino)"""," ""Some other Race"""," ""Two or More Races"""," ""Hispanic or Latino"""
City of L.A.,"3,902,440",35512,457366,336781,5854,1095415,935415,380488,1890342
90001,"58,245",1194,291,4799,70,297,25983,5877,52764
90002,"54,384",1893,625,9256,76,174,19551,5705,44084
90003,"75,190",707,383,12865,45,316,33971,10542,60926
90004,"59,621",447,15221,2450,101,11787,19907,3810,28022
90005,"36,910",325,12214,2181,18,3503,10302,4256,18134
90006,"57,136",623,10530,1897,120,2794,21106,6062,41464
90007,"41,270",256,7734,4309,45,6248,10462,4094,21956
90008,"31,046",202,1298,20459,68,1826,4179,1617,7187
90010,"4,313",36,2672,239,65,764,103,152,444
90011,"109,511",1544,701,6680,110,767,54328,11915,100498
90012,"39,709",445,13596,5464,60,7366,6870,3208,11579
90013,"13,413",211,1923,3799,135,3823,1203,1502,2917
90014,"8,547",20,1866,1762,0,2527,1092,653,2156
90015,"24,228",373,4613,1965,0,3300,7184,1902,13713
90016,"45,884",83,2069,12999,32,4584,8649,5951,25154
90017,"28,433",80,4396,3221,136,3244,9229,1555,16810
90018,"51,388",190,2765,14409,87,3839,14640,4964,29229
90019,"61,061",391,10759,10820,214,10759,13244,6155,26818
90020,"38,124",496,16919,2623,72,4575,8319,2059,12993
90021,"2,724",76,173,481,0,520,847,333,1473
90023,"45,732",668,434,476,0,695,23890,4541,43948
90024,"50,611",157,13108,2050,106,25103,1782,4312,6944
90025,"44,608",22,10465,1521,18,24142,1593,3297,5937
90026,"65,921",547,9802,2281,165,18438,21352,5663,32697
90027,"44,678",89,5513,1224,54,26253,5594,3154,10066
90028,"29,887",341,3482,2732,0,13192,4884,2693,8796
90029,"35,037",284,5525,1373,39,8630,13479,2393,18748
90031,"38,533",559,10886,744,54,3106,15552,1865,23463
90032,"45,298",593,5449,969,9,3529,20538,4480,34789
90033,"47,495",803,2185,841,71,1249,25329,3747,42997
90034,"53,321",443,10840,5049,91,20747,6313,5002,13885
90035,"26,411",29,1825,1788,58,18208,1049,2316,3093
90036,"37,596",75,7530,1932,4,21715,1327,3128,4613
90037,"68,885",1295,744,11414,83,1006,26355,6565,54908
90038,"27,995",395,1873,1895,84,8704,9020,2900,14151
90039,"28,839",741,5350,404,12,12098,3833,3244,9427
90041,"28,956",472,7708,617,38,8884,3906,3553,10300
90042,"59,658",1975,8263,1271,18,12994,16245,8388,35025
90043,"44,272",288,1005,25974,142,2554,6300,3714,12843
90044,"100,225",722,651,30659,130,1143,34477,11386,66940
90045,"41,411",265,5963,4191,87,20445,1325,5238,8096
90046,"48,749",195,3222,2823,44,32623,2369,4938,7385
90047,"51,494",463,463,28626,397,1030,10361,3157,20268
90048,"20,504",14,1464,781,0,15686,617,1353,1585
90049,"35,853",54,2546,480,4,28005,520,3004,2825
90057,"47,604",895,8812,2775,148,3318,19108,2366,31961
90058,"3,659",0,3,256,5,350,1017,122,2992
90059,"41,315",830,95,9891,8,525,15109,4702,30011
90061,"29,992",1227,195,8386,6,348,7360,3491,20560
90062,"34,277",631,641,9968,38,853,11538,2992,22366
90063,"52,954",916,858,275,48,1409,32927,3341,50449
90064,"25,161",131,5148,604,70,14060,1329,2156,3631
90065,"46,432",826,6626,887,9,11998,14148,5330,25338
90066,"54,913",747,7984,2740,77,26172,4959,5145,14947
90067,"2,483",0,465,56,0,1774,101,87,128
90068,"21,127",38,1479,1219,8,15053,606,1430,2518
90069,"20,185",0,1455,557,0,15403,436,1407,1694
90071,28,0,0,0,0,0,0,0,28
90077,"7,729",0,581,133,0,5955,111,825,449
90094,"11,426",0,1980,754,0,6790,221,1242,1377
90210,"19,627",22,995,375,0,15951,310,1519,1211
90247,"48,646",311,12332,7603,15,2977,13592,5113,24717
90248,"11,472",71,3906,1951,44,677,2441,1004,4192
90272,"21,282",15,1545,96,4,17473,126,1347,1068
90291,"25,685",231,1079,1636,41,17042,1649,1983,4577
90292,"23,951",0,2352,1830,60,15983,445,2043,2321
90293,"12,812",55,1315,559,0,8262,442,1056,2099
90402,"12,046",39,942,102,0,8901,198,1013,1507
90501,"43,450",87,11710,2294,74,8251,10884,5592,19457
90710,"27,998",120,6283,3357,87,4765,4460,3049,12941
90731,"62,647",589,3828,3182,263,16984,10995,8564,36135
90732,"21,582",19,2601,1140,65,10031,1647,2579,7185
90744,"57,030",462,2025,1688,291,2093,14708,5064,50620
91040,"21,289",38,2295,577,4,12890,1301,2012,4941
91042,"26,686",96,2292,323,56,16316,2359,2410,6688
91303,"29,965",330,3095,1097,0,7611,10880,3164,17389
91304,"54,264",402,9263,3191,49,17592,13148,4054,21993
91306,"49,260",286,9074,1823,74,12079,16202,4113,24073
91307,"25,773",206,4482,1008,18,14979,1263,1923,3959
91311,"41,188",173,6751,2896,45,17497,5173,4654,12352
91316,"28,182",0,1981,657,0,19623,953,2390,4332
91324,"29,328",217,6056,1601,56,10007,6361,2792,10696
91325,"35,355",156,5660,2178,103,12650,8298,3338,13350
91326,"36,079",245,11210,3009,11,15204,1595,2890,5286
91331,"102,553",892,5302,2338,123,4379,33576,14901,89436
91335,"78,205",1001,10042,2808,282,21522,24807,6178,41582
91340,"35,918",363,840,650,0,1232,12004,4605,33120
91342,"92,764",1132,6076,3544,139,11994,20696,11920,69759
91343,"64,519",465,8652,2845,0,12536,23691,6716,39518
91344,"54,465",419,9368,1585,44,24308,5888,5702,17222
91345,"18,752",182,2059,234,279,3285,7398,1538,12601
91352,"45,900",312,2520,950,18,9790,11576,7982,32047
91356,"29,968",87,1699,1882,6,20001,1816,2520,4528
91364,"28,264",90,2660,1911,37,18360,1351,2258,3827
91367,"44,931",90,5837,3163,90,27466,1716,3343,6457
91401,"38,974",308,1956,2175,39,16576,7857,4365,16548
91402,"68,076",463,10150,1995,54,7223,36890,3935,48075
91403,"26,061",21,2043,1407,8,17453,1095,2197,3742
91405,"55,751",290,4482,2715,22,12923,21052,5525,34248
91406,"54,404",473,3993,2644,16,14232,18595,7029,31402
91411,"23,902",53,1905,1747,12,8167,4809,2546,11478
91423,"31,901",29,1981,1273,0,22337,753,3369,4227
91436,"16,970",66,655,299,19,13600,423,1169,1454
91504,"27,592",207,3046,1203,14,15148,1926,2958,6476
91601,"34,786",63,3026,2978,66,15584,4018,3277,11973
91602,"20,465",90,2200,1457,94,12160,1414,1989,3688
