,ZipCode,CrimeCount,VALUE-MIN(crime),Normalized Crime Rates,"Total Population, All Races"," ""American Indian & Alaska Native"""," ""Asian"""," ""Black or African American"""," ""Native Hawaiian & Other Pacific Islander"""," ""White (Not Hispanic or Latino)"""," ""Some other Race"""," ""Two or More Races"""," ""Hispanic or Latino""",value - min(pop),/max - min(pop),Community,Estimated Median Income,value - min(employ),/max-min(employ)
0,90037,2308.0,2307.0,0.491373802,"68,885",1.88%,1.08%,16.57%,0.12%,1.46%,38.26%,9.53%,79.71%,"68,857",0.628928692,Los Angeles (South Los Angeles),"$45,128 ","$22,837 ",0.12
1,90017,3370.0,3369.0,0.717571885,"28,433",0.28%,15.46%,11.33%,0.48%,11.41%,32.46%,5.47%,59.12%,"28,405",0.259446672,"Los Angeles (Downtown Bunker Hill, City West, South Park-North)","$44,607 ","$22,316 ",0.12
2,90013,3262.0,3261.0,0.69456869,"13,413",1.57%,14.34%,28.32%,1.01%,28.50%,8.97%,11.20%,21.75%,"13,385",0.122256423,"Los Angeles (Downtown Central, Downtown Fashion District)","$22,291 ",$0 ,0.0
3,91607,566.0,565.0,0.120340788,"30,921",0.18%,7.23%,7.14%,0.09%,58.36%,7.49%,11.55%,21.53%,"30,893",0.282171661,"Los Angeles (North Hollywood, Sherman Village, Valley Glen, Valley Village)","$80,871 ","$58,580 ",0.31
4,91402,955.0,954.0,0.203194888,"68,076",0.68%,14.91%,2.93%,0.08%,10.61%,54.19%,5.78%,70.62%,"68,048",0.621539417,Los Angeles (Panorama City),"$51,485 ","$29,194 ",0.15
5,90014,1215.0,1214.0,0.25857295,"8,547",0.23%,21.83%,20.62%,0.00%,29.57%,12.78%,7.64%,25.23%,"8,519",0.077811167,"Los Angeles (Downtown Historic Core, Arts District)","$31,332 ","$9,041 ",0.05
6,90012,2245.0,2244.0,0.477955272,"39,709",1.12%,34.24%,13.76%,0.15%,18.55%,17.30%,8.08%,29.16%,"39,681",0.362439831,"Los Angeles (Downtown Civic Center, Chinatown, Arts District, Bunker Hill, Historic Core, Little Tokyo)","$53,278 ","$30,987 ",0.16
7,91342,852.0,851.0,0.181256656,"92,764",1.22%,6.55%,3.82%,0.15%,12.93%,22.31%,12.85%,75.20%,"92,736",0.847035613,"Los Angeles (Lake View Terrace, Sylmar), Kagel Canyon","$84,312 ","$62,021 ",0.33
8,90015,2033.0,2032.0,0.432800852,"24,228",1.54%,19.04%,8.11%,0.00%,13.62%,29.65%,7.85%,56.60%,"24,200",0.221038883,"Los Angeles (Dowtown Fashion District, South Park-South)","$53,062 ","$30,771 ",0.16
9,91340,323.0,322.0,0.0685836,"35,918",1.01%,2.34%,1.81%,0.00%,3.43%,33.42%,12.82%,92.21%,"35,890",0.32781345,"San Fernando, Los Angeles (Mission Hills, Pacoima)","$67,638 ","$45,347 ",0.24
10,90851,296.0,295.0,0.062832801,,,,,,,,,,,,,,,
11,90710,1479.0,1478.0,0.314802982,"27,998",0.43%,22.44%,11.99%,0.31%,17.02%,15.93%,10.89%,46.22%,"27,970",0.255473452,Los Angeles (Harbor City),"$68,537 ","$46,246 ",0.24
12,91411,1699.0,1698.0,0.361661342,"23,902",0.22%,7.97%,7.31%,0.05%,34.17%,20.12%,10.65%,48.02%,"23,874",0.218061252,Los Angeles (Van Nuys),"$67,430 ","$45,139 ",0.24
13,91405,1686.0,1685.0,0.358892439,"55,751",0.52%,8.04%,4.87%,0.04%,23.18%,37.76%,9.91%,61.43%,"55,723",0.508964862,Los Angeles (Valley Glen),"$54,391 ","$32,100 ",0.17
14,91316,1236.0,1235.0,0.263045793,"28,182",0.00%,7.03%,2.33%,0.00%,69.63%,3.38%,8.48%,15.37%,"28,154",0.257154079,Los Angeles (Encino),"$79,858 ","$57,567 ",0.3
15,91356,1390.0,1389.0,0.295846645,"29,968",0.29%,5.67%,6.28%,0.02%,66.74%,6.06%,8.41%,15.11%,"29,940",0.273467114,Los Angeles (Tarzana),"$90,886 ","$68,595 ",0.36
16,90027,2094.0,2093.0,0.445793397,"44,678",0.20%,12.34%,2.74%,0.12%,58.76%,12.52%,7.06%,22.53%,"44,650",0.407825873,"Los Angeles (Griffith Park, Hollywood, Los Feliz)","$78,356 ","$56,065 ",0.3
17,90049,843.0,842.0,0.179339723,"35,853",0.15%,7.10%,1.34%,0.01%,78.11%,1.45%,8.38%,7.88%,"35,825",0.327219751,"Los Angeles (Bel Air Estates, Brentwood)","$143,000 ","$120,709 ",0.64
18,90071,1009.0,1008.0,0.214696486,28,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0,0.0,"Los Angeles (Downtown Bunker Hill, City West, Historic Core, South Park-North)","$90,046 ","$67,755 ",0.36
19,90035,1206.0,1205.0,0.256656017,"26,411",0.11%,6.91%,6.77%,0.22%,68.94%,3.97%,8.77%,11.71%,"26,383",0.240978051,Los Angeles (West Fairfax),"$101,570 ","$79,279 ",0.42
20,90048,1614.0,1613.0,0.343556976,"20,504",0.07%,7.14%,3.81%,0.00%,76.50%,3.01%,6.60%,7.73%,"20,476",0.18702447,"Los Angeles (Mid-City West), West Hollywood","$102,567 ","$80,276 ",0.42
21,91401,1920.0,1919.0,0.408732694,"38,974",0.79%,5.02%,5.58%,0.10%,42.53%,20.16%,11.20%,42.46%,"38,946",0.35572646,"Los Angeles (Valley Glen, Van Nuys)","$65,458 ","$43,167 ",0.23
22,90074,395.0,394.0,0.083919063,,,,,,,,,,,,,,,
23,90025,2742.0,2741.0,0.583812567,"44,608",0.05%,23.46%,3.41%,0.04%,54.12%,3.57%,7.39%,13.31%,"44,580",0.407186504,"Los Angeles (Sawtelle, West Los Angeles)","$100,453 ","$78,162 ",0.41
24,90292,428.0,427.0,0.090947817,"23,951",0.00%,9.82%,7.64%,0.25%,66.73%,1.86%,8.53%,9.69%,"23,923",0.21850881,"Los Angeles (Marina Peninsula), Marina del Rey","$137,813 ","$115,522 ",0.61
