ZipCode,"Total Population, All Races"," ""American Indian & Alaska Native"""," ""Asian"""," ""Black or African American"""," ""Native Hawaiian & Other Pacific Islander"""," ""White (Not Hispanic or Latino)"""," ""Some other Race"""," ""Two or More Races"""," ""Hispanic or Latino""",value - min(pop),/max - min(pop)
90001,"58,245",2.05%,0.50%,8.24%,0.12%,0.51%,44.61%,10.09%,90.59%,"58,217",0.531744654
90002,"54,384",3.48%,1.15%,17.02%,0.14%,0.32%,35.95%,10.49%,81.06%,"54,356",0.496478905
90003,"75,190",0.94%,0.51%,17.11%,0.06%,0.42%,45.18%,14.02%,81.03%,"75,162",0.686517542
90004,"59,621",0.75%,25.53%,4.11%,0.17%,19.77%,33.39%,6.39%,47.00%,"59,593",0.544312816
90005,"36,910",0.88%,33.09%,5.91%,0.05%,9.49%,27.91%,11.53%,49.13%,"36,882",0.336874218
90006,"57,136",1.09%,18.43%,3.32%,0.21%,4.89%,36.94%,10.61%,72.57%,"57,108",0.521615228
90007,"41,270",0.62%,18.74%,10.44%,0.11%,15.14%,25.35%,9.92%,53.20%,"41,242",0.376697752
90008,"31,046",0.65%,4.18%,65.90%,0.22%,5.88%,13.46%,5.21%,23.15%,"31,018",0.283313391
90010,"4,313",0.83%,61.95%,5.54%,1.51%,17.71%,2.39%,3.52%,10.29%,"4,285",0.039138496
90011,"109,511",1.41%,0.64%,6.10%,0.10%,0.70%,49.61%,10.88%,91.77%,"109,483",1
90012,"39,709",1.12%,34.24%,13.76%,0.15%,18.55%,17.30%,8.08%,29.16%,"39,681",0.362439831
90013,"13,413",1.57%,14.34%,28.32%,1.01%,28.50%,8.97%,11.20%,21.75%,"13,385",0.122256423
90014,"8,547",0.23%,21.83%,20.62%,0.00%,29.57%,12.78%,7.64%,25.23%,"8,519",0.077811167
90015,"24,228",1.54%,19.04%,8.11%,0.00%,13.62%,29.65%,7.85%,56.60%,"24,200",0.221038883
90016,"45,884",0.18%,4.51%,28.33%,0.07%,9.99%,18.85%,12.97%,54.82%,"45,856",0.418841281
90017,"28,433",0.28%,15.46%,11.33%,0.48%,11.41%,32.46%,5.47%,59.12%,"28,405",0.259446672
90018,"51,388",0.37%,5.38%,28.04%,0.17%,7.47%,28.49%,9.66%,56.88%,"51,360",0.469113926
90019,"61,061",0.64%,17.62%,17.72%,0.35%,17.62%,21.69%,10.08%,43.92%,"61,033",0.557465543
