ZipCode,Count
91402, 88
90028, 212
90292, 62
90025, 135
90232, 17
90010, 80
91776, 4
90064, 91
90001, 31
91340, 11
90036, 139
90027, 128
90012, 173
90065, 49
90033, 75
90731, 88
90043, 33
90018, 42
90045, 126
90007, 90
90005, 120
91324, 135
90293, 15
91342, 65
90006, 173
90021, 63
90057, 72
91331, 90
91403, 78
90042, 65
90024, 81
91601, 93
91367, 60
90049, 48
90014, 80
90046, 100
90039, 65
90048, 108
91335, 106
91405, 79
91303, 73
90016, 61
90041, 59
90094, 17
90023, 61
90248, 13
90029, 94
90017, 95
91326, 24
90026, 111
91355, 6
93543, 1
90744, 55
91356, 81
91325, 45
90008, 35
91605, 94
90004, 128
90710, 23
91423, 74
90063, 24
90038, 83
90047, 39
90071, 33
90037, 62
90022, 12
90272, 32
91401, 67
90035, 69
90019, 102
90003, 58
91606, 55
90291, 91
92377, 1
91343, 51
91306, 32
90262, 1
90011, 101
91352, 48
90230, 16
90032, 30
90069, 23
91311, 73
91406, 82
90013, 100
91364, 79
90077, 7
91344, 54
90066, 42
90015, 136
91304, 49
90020, 161
90501, 38
90067, 38
90247, 5
90201, 6
91307, 20
90732, 17
91604, 114
90640, 3
91350, 2
90802, 1
91316, 54
92394, 1
90089, 6
90044, 40
90504, 2
91206, 1
90807, 1
91345, 27
90405, 1
91042, 31
11101, 3
90031, 33
91040, 23
90302, 1
90034, 57
91302, 7
91214, 1
90265, 1
91706, 3
91607, 43
92503, 1
90295, 1
90068, 27
91329, 1
11104, 1
90245, 3
90062, 17
91602, 48
91732, 1
91384, 1
91505, 4
90058, 15
90476, 1
91210, 2
91502, 3
93550, 4
91208, 1
90803, 2
91411, 30
90061, 14
90079, 1
91504, 3
90717, 7
91321, 2
90723, 2
90604, 3
90059, 10
90250, 3
91381, 1
90095, 2
92571, 1
91351, 3
90402, 11
90249, 2
91506, 2
91436, 54
32839, 1
90814, 1
90002, 8
91108, 1
90503, 1
90280, 1
91755, 1
91205, 1
19103, 1
60606, 1
91107, 1
90210, 3
92028, 1
93003, 1
90260, 1
90404, 1
91104, 1
92807, 1
91204, 2
90211, 3
90502, 4
90605, 1
93552, 1
90278, 1
91748, 2
90650, 1
90212, 3
91801, 1
93535, 1
91362, 2
90810, 1
90242, 1
91770, 1
91775, 1
91608, 1
90240, 1
90255, 1
91301, 2
33126, 1
90275, 3
90290, 1
91731, 1
91744, 1
93065, 1
92130, 1
91330, 1
90221, 1
90241, 1
90716, 1
92845, 1
90294, 1
91762, 1
93463, 1
92301, 1
91741, 1
