ZipCode,Community,Estimated Median Income,value - min,/max-min
90001,"Los Angeles (South Los Angeles), Florence-Graham","$52,806 ","$30,515 ",0.16
90002,"Los Angeles (Southeast Los Angeles, Watts)","$46,159 ","$23,868 ",0.13
90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)","$47,733 ","$25,442 ",0.13
90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)","$54,947 ","$32,656 ",0.17
90005,"Los Angeles (Hancock Park, Koreatown, Wilshire Center, Wilshire Park, Windsor Square)","$44,913 ","$22,622 ",0.12
90006,"Los Angeles (Byzantine-Latino Quarter, Harvard Heights, Koreatown, Pico Heights)","$41,068 ","$18,777 ",0.1
90007,"Los Angeles (Southeast Los Angeles, Univerity Park)","$33,222 ","$10,931 ",0.06
90008,"Los Angeles (Baldwin Hills, Crenshaw, Leimert Park)","$49,379 ","$27,088 ",0.14
90010,"Los Angeles (Hancock Park, Wilshire Center, Windsor Square)","$76,547 ","$54,256 ",0.29
90011,Los Angeles (Southeast Los Angeles),"$47,126 ","$24,835 ",0.13
90012,"Los Angeles (Downtown Civic Center, Chinatown, Arts District, Bunker Hill, Historic Core, Little Tokyo)","$53,278 ","$30,987 ",0.16
90013,"Los Angeles (Downtown Central, Downtown Fashion District)","$22,291 ",$0 ,0
90014,"Los Angeles (Downtown Historic Core, Arts District)","$31,332 ","$9,041 ",0.05
90015,"Los Angeles (Dowtown Fashion District, South Park-South)","$53,062 ","$30,771 ",0.16
90016,Los Angeles (West Adams),"$53,659 ","$31,368 ",0.17
90017,"Los Angeles (Downtown Bunker Hill, City West, South Park-North)","$44,607 ","$22,316 ",0.12
90018,"Los Angeles (Jefferson Park, Leimert Park)","$55,275 ","$32,984 ",0.17
90019,"Los Angeles (Arlington Heights, Country Club Park, Mid-City)","$61,616 ","$39,325 ",0.21
90020,"Los Angeles (Hancock Park, Western Wilton, Wilshire Center, Windsor Square)","$51,013 ","$28,722 ",0.15
90021,"Los Angeles (Downtown Fashion District, Downtown Southeast)","$25,364 ","$3,073 ",0.02
90022,East Los Angeles,"$57,464 ","$35,173 ",0.19
90023,"Commerce, East Los Angeles","$48,293 ","$26,002 ",0.14
90024,Los Angeles (Westwood),"$67,422 ","$45,131 ",0.24
90025,"Los Angeles (Sawtelle, West Los Angeles)","$100,453 ","$78,162 ",0.41
90026,"Los Angeles (Echo Park, Silver Lake)","$70,436 ","$48,145 ",0.25
90027,"Los Angeles (Griffith Park, Hollywood, Los Feliz)","$78,356 ","$56,065 ",0.3
90028,Los Angeles (Hollywood),"$52,814 ","$30,523 ",0.16
90029,Los Angeles (East Hollywood),"$50,822 ","$28,531 ",0.15
90031,"Los Angeles (Lincoln Heights, Montecito Heights)","$53,319 ","$31,028 ",0.16
90032,"Los Angeles (El Sereno, Monterey Hills)","$65,761 ","$43,470 ",0.23
90033,Los Angeles (Boyle Heights),"$49,734 ","$27,443 ",0.14
90034,Los Angeles (Palms),"$88,490 ","$66,199 ",0.35
90035,Los Angeles (West Fairfax),"$101,570 ","$79,279 ",0.42
90036,"Los Angeles (Fairfax, Melrose, Miracle Mile, Park La Brea, Wilshire-La Brea)","$87,868 ","$65,577 ",0.35
90037,Los Angeles (South Los Angeles),"$45,128 ","$22,837 ",0.12
90038,Los Angeles (Hollywood),"$51,096 ","$28,805 ",0.15
90039,"Los Angeles (Atwater Village, Elysian Valley, Silver Lake)","$99,226 ","$76,935 ",0.41
90040,"Commerce, City of","$56,948 ","$34,657 ",0.18
90041,Los Angeles (Eagle Rock),"$95,811 ","$73,520 ",0.39
90042,Los Angeles (Highland Park),"$81,853 ","$59,562 ",0.31
90043,"Los Angeles (Hyde Park, View Park, Windsor Hills)","$60,599 ","$38,308 ",0.2
90044,"Athens, Los Angeles (South Los Angeles)","$43,388 ","$21,097 ",0.11
