X90037,total_sum,,,,,,vallue - min,,/min-max
90017,4518,,,min,3,,4515,,0.732360097
90013,4208,,,max,6168,,4205,,0.682076237
91607,896,,,min-max,6165,,893,,0.144849959
91402,2264,,,,,,2261,,0.36674777
90014,1586,,,,,,1583,,0.256772101
90012,2918,,,,,,2915,,0.472830495
91342,1984,,,,,,1981,,0.321330089
91340,705,,,,,,702,,0.113868613
90851,375,,,,,,372,,0.060340633
90710,1828,,,,,,1825,,0.296025953
91411,2237,,,,,,2234,,0.362368208
91405,2300,,,,,,2297,,0.372587186
91316,1636,,,,,,1633,,0.264882401
91356,1820,,,,,,1817,,0.294728305
90027,2767,,,,,,2764,,0.448337388
90049,1107,,,,,,1104,,0.179075426
90071,1256,,,,,,1253,,0.20324412
90035,1570,,,,,,1567,,0.254176805
90048,2107,,,,,,2104,,0.341281427
91401,2532,,,,,,2529,,0.410218978
90074,506,,,,,,503,,0.081589619
90025,3626,,,,,,3623,,0.587672344
90292,757,,,,,,754,,0.122303325
90057,3855,,,,,,3852,,0.624817518
90044,3540,,,,,,3537,,0.573722628
90031,2121,,,,,,2118,,0.343552311
90033,3072,,,,,,3069,,0.497810219
90227,261,,,,,,258,,0.041849148
90034,2009,,,,,,2006,,0.325385239
90021,1403,,,,,,1400,,0.227088402
90016,3621,,,,,,3618,,0.586861314
90026,3883,,,,,,3880,,0.629359286
90003,3849,,,,,,3846,,0.623844282
90028,6168,,,,,,6165,,1
90066,1218,,,,,,1215,,0.197080292
90007,3005,,,,,,3002,,0.486942417
90036,2696,,,,,,2693,,0.436820762
90731,3865,,,,,,3862,,0.626439578
90002,2007,,,,,,2004,,0.325060827
90086,428,,,,,,425,,0.068937551
91352,1488,,,,,,1485,,0.240875912
90079,326,,,,,,323,,0.052392539
90212,65,,,,,,62,,0.010056772
90210,340,,,,,,337,,0.054663423
91406,3089,,,,,,3086,,0.500567721
90042,1860,,,,,,1857,,0.301216545
90047,1588,,,,,,1585,,0.257096513
90029,2409,,,,,,2406,,0.39026764
90059,1340,,,,,,1337,,0.216869424
90272,750,,,,,,747,,0.121167883
90032,1849,,,,,,1846,,0.299432279
90019,3710,,,,,,3707,,0.601297648
91335,3438,,,,,,3435,,0.557177616
90062,2384,,,,,,2381,,0.38621249
90004,2465,,,,,,2462,,0.399351176
90038,2731,,,,,,2728,,0.442497972
90024,1385,,,,,,1382,,0.224168694
90064,2222,,,,,,2219,,0.359935118
90744,2988,,,,,,2985,,0.484184915
90043,1560,,,,,,1557,,0.252554745
90039,1303,,,,,,1300,,0.210867802
91328,542,,,,,,539,,0.087429035
91344,1108,,,,,,1105,,0.179237632
90005,1762,,,,,,1759,,0.285320357
90023,2376,,,,,,2373,,0.384914842
90001,496,,,,,,493,,0.079967559
90291,1804,,,,,,1801,,0.292133009
90046,2924,,,,,,2921,,0.473803731
91605,1600,,,,,,1597,,0.259042985
91306,1363,,,,,,1360,,0.220600162
90011,3006,,,,,,3003,,0.487104623
91403,1536,,,,,,1533,,0.2486618
90041,1070,,,,,,1067,,0.173073804
90230,460,,,,,,457,,0.074128143
90732,886,,,,,,883,,0.143227899
91436,718,,,,,,715,,0.115977291
