,location account #,business name,dba name,street address,city,location description,mailing address,mailing city,mailing zip code,naics,primary naics description,council district,location start date,location end date,location,zip_code
0,0000410578-0001-0,DOUBLE O TWO INC,INTERNATIONAL HOUSE OF PANCAKES #2,8555 VESPER AVENUE,panorama city,8555 VESPER 91402-2914,24801 PICO CANYON ROAD #200,STEVENSON RANCH,91381-1762,722110,Full-service restaurants,6,08/02/1982,,"(34.2253, -118.4502)",91402
1,0002537656-0014-1,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 11024 | CALIFORNIA FOOD MANAGEMENT,5609 W SUNSET BLVD,los angeles,5609 SUNSET 90028-8534,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,13,01/03/2011,,"(34.098, -118.3117)",90028
2,0002798053-0001-3,CHARCOAL VENICE PARTNERS LLC,CHARCOAL VENICE,425 WASHINGTON BLVD,venice,425 WASHINGTON 90292-5213,425 WASHINGTON BLVD,VENICE,90292-5213,722110,Full-service restaurants,11,01/18/2015,,"(33.9815, -118.4627)",90292
3,0003325345-0001-0,CAFE BELEN LLC,CAFE BELEN,11925 Santa Monica,los angeles,11925 SANTA MONICA 90025,,,,722110,Full-service restaurants,11,07/26/2022,,"(34.0419, 34.0419)",90025
4,0002913705-0001-5,THE CURATIVE GROUP LLC,,9812   WASHINGTON BLVD,culver city,9812 WASHINGTON 90232,9812   WASHINGTON BLVD,CULVER CITY,90232-2724,722110,Full-service restaurants,0,06/01/2016,,"(34.0218, -118.397)",90232
5,0002886189-0001-4,UNIKING LLC,APT 503,3680   WILSHIRE BLVD   #503,los angeles,3680 WILSHIRE 90010-2707,,,,722110,Full-service restaurants,10,12/01/2015,,"(34.0607, -118.3062)",90010
6,0002947294-0001-1,SHANDIZ CUISINE RESTAURANT INC,SHANDIZ CRUSINE RESTAURANT,745 E VALLEY BLVD,san gabriel,745 VALLEY 91776-3549,,,,722110,Full-service restaurants,0,09/02/2016,,"(34.0802, -118.0912)",91776
7,0000729801-0001-5,FARHAD PEZESHKI,HAMBURGER HABIT,11223 NATIONAL BLVD,los angeles,11223 NATIONAL 90064-3902,,,,722110,Full-service restaurants,5,09/01/1989,,"(34.0269, -118.4297)",90064
8,0002856650-0001-4,SHANDIZ RESTAURANT INC,SHANDIZ PERSIAN GRILL,745 E VALLEY BLVD,san gabriel,745 VALLEY 91776-3549,,,,722110,Full-service restaurants,0,09/23/2015,,"(34.0802, -118.0912)",91776
9,0002873744-0001-8,RAMON BARAJAS,TAMALES Y TAQUERIA EL CERRITO,7831 S ALAMEDA STREET,los angeles,7831 ALAMEDA 90001-3115,,,,722110,Full-service restaurants,0,12/14/2015,,"(33.9689, -118.2335)",90001
10,0000267458-0010-5,"SENIOR CLASSIC LEASING, LLC",CARLS JR RESTAURANT #7376,11509 LAUREL CANYON BLVD,san fernando,11509 LAUREL CANYON 91340-4123,1 CENTERPOINTE DRIVE SUITE #400,LA PALMA,90623-2530,722110,Full-service restaurants,7,11/27/2000,,"(34.2789, -118.4535)",91340
11,0003140878-0001-1,VOW BRANDS LLC,VOWBURGER,519 N FAIRFAX AVENUE,los angeles,519 FAIRFAX 90036-1715,519 N FAIRFAX AVENUE,LOS ANGELES,90036-1715,722110,Full-service restaurants,5,08/15/2019,,"(34.0807, -118.3616)",90036
12,0002537656-0017-6,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 11490 | CALIFORNIA FOOD MANAGEMENT,4918 W SUNSET BLVD,los angeles,4918 SUNSET 90027-5814,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,13,01/03/2011,,"(34.0981, -118.2965)",90027
13,0000864857-0001-5,CAMILLES INC,DENNY'S RESTAURANT | DENNYS RESTAURANT 6231,530 RAMIREZ STREET,los angeles,530 RAMIREZ 90012-2926,POST OFFICE BOX #15490,LONG BEACH,90815-0490,722110,Full-service restaurants,14,12/01/1969,,"(34.0546, -118.2316)",90012
