Zip Code,"Total Population, All Races", "American Indian & Alaska Native", "Asian", "Black or African American", "Native Hawaiian & Other Pacific Islander", "White (Not Hispanic or Latino)", "Some other Race", "Two or More Races", "Hispanic or Latino"

City of L.A.,"3,902,440",0.91%,11.72%,8.63%,0.15%,28.07%,23.97%,9.75%,48.44%
90001,"58,245",2.05%,0.50%,8.24%,0.12%,0.51%,44.61%,10.09%,90.59%
90002,"54,384",3.48%,1.15%,17.02%,0.14%,0.32%,35.95%,10.49%,81.06%
90003,"75,190",0.94%,0.51%,17.11%,0.06%,0.42%,45.18%,14.02%,81.03%
90004,"59,621",0.75%,25.53%,4.11%,0.17%,19.77%,33.39%,6.39%,47.00%


90005,"36,910",0.88%,33.09%,5.91%,0.05%,9.49%,27.91%,11.53%,49.13%
90006,"57,136",1.09%,18.43%,3.32%,0.21%,4.89%,36.94%,10.61%,72.57%
90007,"41,270",0.62%,18.74%,10.44%,0.11%,15.14%,25.35%,9.92%,53.20%
90008,"31,046",0.65%,4.18%,65.90%,0.22%,5.88%,13.46%,5.21%,23.15%
90010,"4,313",0.83%,61.95%,5.54%,1.51%,17.71%,2.39%,3.52%,10.29%


90011,"109,511",1.41%,0.64%,6.10%,0.10%,0.70%,49.61%,10.88%,91.77%
90012,"39,709",1.12%,34.24%,13.76%,0.15%,18.55%,17.30%,8.08%,29.16%
90013,"13,413",1.57%,14.34%,28.32%,1.01%,28.50%,8.97%,11.20%,21.75%
90014,"8,547",0.23%,21.83%,20.62%,0.00%,29.57%,12.78%,7.64%,25.23%
90015,"24,228",1.54%,19.04%,8.11%,0.00%,13.62%,29.65%,7.85%,56.60%


90016,"45,884",0.18%,4.51%,28.33%,0.07%,9.99%,18.85%,12.97%,54.82%
90017,"28,433",0.28%,15.46%,11.33%,0.48%,11.41%,32.46%,5.47%,59.12%
90018,"51,388",0.37%,5.38%,28.04%,0.17%,7.47%,28.49%,9.66%,56.88%
90019,"61,061",0.64%,17.62%,17.72%,0.35%,17.62%,21.69%,10.08%,43.92%
90020,"38,124",1.30%,44.38%,6.88%,0.19%,12.00%,21.82%,5.40%,34.08%


90021,"2,724",2.79%,6.35%,17.66%,0.00%,19.09%,31.09%,12.22%,54.07%
90023,"45,732",1.46%,0.95%,1.04%,0.00%,1.52%,52.24%,9.93%,96.10%
90024,"50,611",0.31%,25.90%,4.05%,0.21%,49.60%,3.52%,8.52%,13.72%
90025,"44,608",0.05%,23.46%,3.41%,0.04%,54.12%,3.57%,7.39%,13.31%
90026,"65,921",0.83%,14.87%,3.46%,0.25%,27.97%,32.39%,8.59%,49.60%


90027,"44,678",0.20%,12.34%,2.74%,0.12%,58.76%,12.52%,7.06%,22.53%
90028,"29,887",1.14%,11.65%,9.14%,0.00%,44.14%,16.34%,9.01%,29.43%
90029,"35,037",0.81%,15.77%,3.92%,0.11%,24.63%,38.47%,6.83%,53.51%
90031,"38,533",1.45%,28.25%,1.93%,0.14%,8.06%,40.36%,4.84%,60.89%
90032,"45,298",1.31%,12.03%,2.14%,0.02%,7.79%,45.34%,9.89%,76.80%


90033,"47,495",1.69%,4.60%,1.77%,0.15%,2.63%,53.33%,7.89%,90.53%
90034,"53,321",0.83%,20.33%,9.47%,0.17%,38.91%,11.84%,9.38%,26.04%
90035,"26,411",0.11%,6.91%,6.77%,0.22%,68.94%,3.97%,8.77%,11.71%
90036,"37,596",0.20%,20.03%,5.14%,0.01%,57.76%,3.53%,8.32%,12.27%
90037,"68,885",1.88%,1.08%,16.57%,0.12%,1.46%,38.26%,9.53%,79.71%


90038,"27,995",1.41%,6.69%,6.77%,0.30%,31.09%,32.22%,10.36%,50.55%
90039,"28,839",2.57%,18.55%,1.40%,0.04%,41.95%,13.29%,11.25%,32.69%
90041,"28,956",1.63%,26.62%,2.13%,0.13%,30.68%,13.49%,12.27%,35.57%
90042,"59,658",3.31%,13.85%,2.13%,0.03%,21.78%,27.23%,14.06%,58.71%
90043,"44,272",0.65%,2.27%,58.67%,0.32%,5.77%,14.23%,8.39%,29.01%


90044,"100,225",0.72%,0.65%,30.59%,0.13%,1.14%,34.40%,11.36%,66.79%
